URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/iana-link-relations,5.0.0,active,,LinkRelationTypes,Link Relation Types,"Link Relation Types defined at https://www.iana.org/assignments/link-relations/link-relations.xhtml#link-relations-1","ValueSet/iana-link-relations"
http://hl7.org/fhir/address-type,5.0.0,active,"2.16.840.1.113883.4.642.1.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,5.0.0,active,"2.16.840.1.113883.4.642.1.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/bundle-type,5.0.0,active,"2.16.840.1.113883.4.642.2.327,2.16.840.1.113883.4.642.1.613,2.16.840.1.113883.4.642.4.621",BundleType,Bundle Type,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/claim-decision,5.0.0,active,"2.16.840.1.113883.4.642.4.1896",ClaimAdjudicationDecisionCodes,Claim Adjudication Decision Codes,"This value set provides Claim Adjudication Decision codes.","ValueSet/claim-decision"
http://hl7.org/fhir/claim-decision-reason,5.0.0,active,,ClaimAdjudicationDecisionReasonCodes,Claim Adjudication Decision Reason Codes,"This value set provides example Claim Adjudication Decision Reason codes.","ValueSet/claim-decision-reason"
http://hl7.org/fhir/claim-outcome,5.0.0,active,"2.16.840.1.113883.4.642.4.1897",ClaimProcessingOutcomeCodes,Claim Processing Outcome Codes,"This value set includes Claim Processing Outcome codes.","ValueSet/claim-outcome"
http://hl7.org/fhir/claim-use,5.0.0,active,"2.16.840.1.113883.4.642.1.537,2.16.840.1.113883.4.642.4.545",Use,Use,"The purpose of the Claim: predetermination, preauthorization, claim.","ValueSet/claim-use"
http://hl7.org/fhir/composition-attestation-mode,5.0.0,active,"2.16.840.1.113883.4.642.1.234,2.16.840.1.113883.4.642.4.239,2.16.840.1.113883.4.642.2.120",CompositionAttestationMode,Composition Attestation Mode,"The way in which a person authenticated a composition.","ValueSet/composition-attestation-mode"
http://hl7.org/fhir/composition-status,5.0.0,active,"2.16.840.1.113883.4.642.4.242,2.16.840.1.113883.4.642.2.123,2.16.840.1.113883.4.642.1.237",CompositionStatus,Composition Status,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/contact-point-system,5.0.0,active,"2.16.840.1.113883.4.642.1.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,5.0.0,active,"2.16.840.1.113883.4.642.1.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/coverage-kind,5.0.0,active,"2.16.840.1.113883.4.642.4.2077",Kind,Kind,"The nature of the Coverage details which convey who is paying potentially for health services.","ValueSet/coverage-kind"
http://hl7.org/fhir/datestype,5.0.0,active,,DatesEventTypeCodes,Dates Event Type Codes,"This value set includes sample Dates Event Type codes.","ValueSet/datestype"
http://hl7.org/fhir/device-availability-status,5.0.0,active,"2.16.840.1.113883.4.642.4.2048",FHIRDeviceAvailabilityStatus,FHIR Device Availability Status,"The record status of the device.","ValueSet/device-availability-status"
http://hl7.org/fhir/device-category,5.0.0,active,"2.16.840.1.113883.4.642.4.2105",FHIRDeviceCategory,FHIR Device Category,"The category of the device.","ValueSet/device-category"
http://hl7.org/fhir/device-nametype,5.0.0,active,"2.16.840.1.113883.4.642.4.1084",DeviceNameType,Device Name Type,"The type of name the device is referred by.","ValueSet/device-nametype"
http://hl7.org/fhir/device-operation-mode,5.0.0,active,"2.16.840.1.113883.4.642.4.2107",FHIRDeviceOperationMode,FHIR Device Operation Mode,"The operation mode of the device.","ValueSet/device-operation-mode"
http://hl7.org/fhir/device-specification-category,5.0.0,active,"2.16.840.1.113883.4.642.4.2054",FHIRDeviceSpecializationCategory,FHIR Device Specialization Category,"The kind of standards used by the device.","ValueSet/device-specification-category"
http://hl7.org/fhir/device-status,5.0.0,active,"2.16.840.1.113883.4.642.4.210,2.16.840.1.113883.4.642.1.200",FHIRDeviceStatus,FHIR Device Status,"The status of the Device record.","ValueSet/device-status"
http://hl7.org/fhir/encounter-diagnosis-use,5.0.0,active,"2.16.840.1.113883.4.642.4.2115",EncounterDiagnosisUse,Encounter Diagnosis Use,"Encounter Condition Use","ValueSet/encounter-diagnosis-use"
http://hl7.org/fhir/encounter-location-status,5.0.0,active,"2.16.840.1.113883.4.642.1.258,2.16.840.1.113883.4.642.2.147,2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,Encounter Location Status,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-reason-use,5.0.0,active,"2.16.840.1.113883.4.642.4.2114",EncounterReasonUse,Encounter Reason Use,"Encounter Reason Use","ValueSet/encounter-reason-use"
http://hl7.org/fhir/encounter-status,5.0.0,active,"2.16.840.1.113883.4.642.4.247,2.16.840.1.113883.4.642.1.242",EncounterStatus,Encounter Status,"Current state of the encounter.","ValueSet/MopedEncounterStatusAufnahmeVS,ValueSet/encounter-status,ValueSet/MopedEncounterStatusEntlassungVS"
http://hl7.org/fhir/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/fhir-types,5.0.0,active,"2.16.840.1.113883.4.642.4.1802",FHIRTypes,All FHIR Types,"One of the types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/fm-status,5.0.0,active,"2.16.840.1.113883.4.642.1.585,2.16.840.1.113883.4.642.4.593",FinancialResourceStatusCodes,Financial Resource Status Codes,"This value set includes Status codes.","ValueSet/fm-status"
http://hl7.org/fhir/http-verb,5.0.0,active,"2.16.840.1.113883.4.642.4.625,2.16.840.1.113883.4.642.2.329,2.16.840.1.113883.4.642.1.617",HTTPVerb,H T T P Verb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb,ValueSet/HTTPVerbUpdateOnlyVS,ValueSet/HTTPVerbInsertOnlyVS,ValueSet/HTTPVerbInsertUpdateDeleteVS"
http://hl7.org/fhir/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.1.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,5.0.0,active,"2.16.840.1.113883.4.642.1.413,2.16.840.1.113883.4.642.2.234,2.16.840.1.113883.4.642.4.424",LinkType,Link Type,"The type of link between this Patient resource and other Patient/RelatedPerson resource(s).","ValueSet/link-type"
http://hl7.org/fhir/name-use,5.0.0,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
